id,tenant_id,metric_month,metric_name,metric_value,dimensions,created_at
f78c93bb-6a38-45fa-b460-eb6bd498e416,c7d81291-463a-4d37-a909-3ee5c3223900,2025-08-01,daily_active_users,53585,"{""plan"":""enterprise"",""segment"":""mid_market""}",2026-06-22T18:00:00+05:30
57365f81-8b5f-4607-8608-062c670cdc03,4598b7de-3dae-4209-a205-331116f172ee,2025-10-01,monthly_active_users,76135,"{""plan"":""business"",""segment"":""mid_market""}",2026-06-22T18:00:00+05:30
71298910-0f22-4658-ae2f-0c8cceefaa6a,0a6b4b7c-359e-4ae0-9a29-89e7a2c450b3,2025-07-01,session_duration_seconds,63527,"{""plan"":""enterprise"",""segment"":""smb""}",2026-06-22T18:00:00+05:30
87e18be2-aa02-4b11-8017-dc7f76869336,51aede00-cdcb-4279-ab8f-10f40467e900,2026-06-01,login_frequency,31390,"{""plan"":""starter"",""segment"":""enterprise""}",2026-06-22T18:00:00+05:30
b5f43130-3f6a-4f68-a418-e52e0599c23e,beb85c12-f4a9-4d5e-b758-69ceab3762f4,2025-08-01,api_calls,10859,"{""plan"":""business"",""segment"":""enterprise""}",2026-06-22T18:00:00+05:30
b898e3f8-af63-4c4f-b66f-2eeedcbafb7e,4c280ffb-8d40-4c63-915f-3972b01b44bb,2026-01-01,error_rate,0.5188,"{""plan"":""business"",""segment"":""smb""}",2026-06-22T18:00:00+05:30
b0bacb15-743f-4eb9-9cc7-0569cfca038f,6fbfe15d-44a4-4f2d-9d48-7cd852ab9d80,2025-08-01,lead_conversion_rate,0.244,"{""plan"":""starter"",""segment"":""enterprise""}",2026-06-22T18:00:00+05:30
fa099274-1d9a-4cbf-8683-5cfa86b1e806,60e6e333-7cd9-4623-a199-503967b22f0c,2026-06-01,trial_to_paid_conversion,44520,"{""plan"":""business"",""segment"":""enterprise""}",2026-06-22T18:00:00+05:30
f8f0fc70-1176-406a-adb4-66ea12b85f4a,99b7f502-bf98-4c51-8fce-0c2e042d862d,2026-04-01,retention_rate,0.2521,"{""plan"":""growth"",""segment"":""enterprise""}",2026-06-22T18:00:00+05:30
57681b8d-15bd-4ab9-a27e-a7a8c1c5161a,74d15667-e8d9-4bc5-96b2-2cae0ca42248,2025-09-01,churn_rate,0.0564,"{""plan"":""free"",""segment"":""smb""}",2026-06-22T18:00:00+05:30
b1e10cef-1cac-40a3-8421-154c7f66956c,d14c85cd-6a15-4d2a-b69b-b45fc0a65dcd,2025-09-01,messages_sent,33611,"{""plan"":""growth"",""segment"":""enterprise""}",2026-06-22T18:00:00+05:30
e9969f6d-d662-425d-825f-2724ed97ffbf,07650c52-892e-4f8a-b45b-b851d90db0fd,2025-12-01,agent_resolution_rate,0.712,"{""plan"":""starter"",""segment"":""smb""}",2026-06-22T18:00:00+05:30
48ffa4b8-c32f-460f-bdbc-c2a7bfc8947f,46d5dd02-9c48-4d80-8ff9-2078da3c6d46,2025-07-01,document_index_success_rate,0.0772,"{""plan"":""business"",""segment"":""mid_market""}",2026-06-22T18:00:00+05:30
1fe3a710-573b-4f6e-989f-f64e3165a332,3bf589a2-07d1-4dcf-9c83-823cada0d607,2025-10-01,daily_active_users,7126,"{""plan"":""growth"",""segment"":""mid_market""}",2026-06-22T18:00:00+05:30
e96d757e-6907-4358-acf9-901be8b6f3e3,49026c7f-4614-4430-9b2e-4efbce1c11be,2026-05-01,monthly_active_users,6882,"{""plan"":""business"",""segment"":""smb""}",2026-06-22T18:00:00+05:30
9d61d760-859b-4436-84db-5e925db289da,5b3e3188-26b2-41f8-8d4e-57067597768b,2026-02-01,session_duration_seconds,66267,"{""plan"":""free"",""segment"":""smb""}",2026-06-22T18:00:00+05:30
bebabb2f-fe1b-45fe-8bde-0302f20f6b9b,4d2467ce-3b58-4848-accb-0a4dc3cba1ac,2025-09-01,login_frequency,28962,"{""plan"":""enterprise"",""segment"":""mid_market""}",2026-06-22T18:00:00+05:30
28917ad8-30b3-4e30-9f1b-b6b4493e733b,2f76e7b9-7d11-4c1f-bca7-512fe16c55d0,2026-01-01,api_calls,58275,"{""plan"":""free"",""segment"":""smb""}",2026-06-22T18:00:00+05:30
2f523352-4c74-4e83-be20-ff1723a51c26,8df5555c-86a1-4558-b57a-c3877a013d64,2025-12-01,error_rate,0.8804,"{""plan"":""business"",""segment"":""smb""}",2026-06-22T18:00:00+05:30
179849d4-bd49-4f76-9584-1b7ee6646deb,ace3e79d-cd39-4334-a57b-b5d4e459a08f,2025-12-01,lead_conversion_rate,0.6156,"{""plan"":""starter"",""segment"":""smb""}",2026-06-22T18:00:00+05:30
704e4db8-4907-4427-9892-9ec30507e56b,e2122892-2aff-4bc3-90b4-39222675d351,2025-07-01,trial_to_paid_conversion,31359,"{""plan"":""free"",""segment"":""smb""}",2026-06-22T18:00:00+05:30
761657c0-8072-44a1-97aa-e12c864ee543,81a138c2-1dff-4af1-a247-4562a7b554c5,2025-07-01,retention_rate,0.6728,"{""plan"":""growth"",""segment"":""enterprise""}",2026-06-22T18:00:00+05:30
31da5936-9b49-4332-9564-301fbddc1c19,8fc0f24c-dbc1-46d9-a067-81d5c07dcb60,2025-09-01,churn_rate,0.3282,"{""plan"":""starter"",""segment"":""enterprise""}",2026-06-22T18:00:00+05:30
dd742936-26db-465f-a17c-0cc61cf85a54,ce72b8e2-6f3d-43bd-8c13-8082a1acc26a,2025-08-01,messages_sent,6394,"{""plan"":""enterprise"",""segment"":""mid_market""}",2026-06-22T18:00:00+05:30
4c422b41-9e41-45ad-8a1f-7c35393df999,6f91e0b1-e5d6-4792-b48b-92d6454d0347,2026-06-01,agent_resolution_rate,0.2336,"{""plan"":""free"",""segment"":""mid_market""}",2026-06-22T18:00:00+05:30
a3954f55-c3d1-4d1d-ba2a-54a4c7fe878b,2a8edbbf-cfce-4a1d-9f2e-6a7711380237,2026-03-01,document_index_success_rate,0.8486,"{""plan"":""free"",""segment"":""enterprise""}",2026-06-22T18:00:00+05:30
e3cb3b54-d20d-4733-9c01-f3ef0fcfc3a4,405deed9-ba9d-4864-9bf5-1624b07f7882,2025-11-01,daily_active_users,42789,"{""plan"":""starter"",""segment"":""enterprise""}",2026-06-22T18:00:00+05:30
07f2301d-266a-4193-a1d7-f8ec7876ded8,140b8c99-70b5-46f3-b669-abf99cb3bcb5,2026-01-01,monthly_active_users,32675,"{""plan"":""free"",""segment"":""smb""}",2026-06-22T18:00:00+05:30
137efb06-bdd1-40bb-9c13-e53421ce954c,6b91578d-c0d4-46f8-b25a-5e319efd07ea,2025-12-01,session_duration_seconds,69159,"{""plan"":""starter"",""segment"":""mid_market""}",2026-06-22T18:00:00+05:30
fd07b055-8fb3-4c83-a8da-f3d68c5be16f,ab68d28d-eb87-4198-860a-492263d7251f,2026-01-01,login_frequency,16077,"{""plan"":""starter"",""segment"":""smb""}",2026-06-22T18:00:00+05:30
a88d5dd6-81cd-4657-9ac4-368868ebba93,3f5d8054-8479-49d1-977c-63974248d2f3,2025-12-01,api_calls,15661,"{""plan"":""starter"",""segment"":""smb""}",2026-06-22T18:00:00+05:30
57e985b7-320a-470a-803f-ec7cd8ca1d22,3d3163d2-4e44-4bbb-b726-cab4ff659113,2025-09-01,error_rate,0.5079,"{""plan"":""free"",""segment"":""mid_market""}",2026-06-22T18:00:00+05:30
9380c0ce-d885-40c0-8ded-76c075032f0c,8c44430a-91b8-432b-ad33-ffafc4f8c201,2026-05-01,lead_conversion_rate,0.4175,"{""plan"":""business"",""segment"":""mid_market""}",2026-06-22T18:00:00+05:30
d42826da-d4d0-467a-879c-7cb53cfdec17,c0d1e5ab-7421-4f5f-a003-661bbb3300b7,2026-02-01,trial_to_paid_conversion,31438,"{""plan"":""growth"",""segment"":""mid_market""}",2026-06-22T18:00:00+05:30
e5e8bcc9-590b-4ed7-98fe-0812809b6796,c2b51c4a-664e-4d81-adeb-6d2891e9535c,2025-07-01,retention_rate,0.9137,"{""plan"":""growth"",""segment"":""smb""}",2026-06-22T18:00:00+05:30
a37dbaec-2b5f-470a-8fcd-acb7a0607fae,ecd7e694-1a3e-41c0-9916-c89829b7c3fd,2026-01-01,churn_rate,0.6277,"{""plan"":""growth"",""segment"":""smb""}",2026-06-22T18:00:00+05:30
ffa607bd-c9cd-407b-b5b3-a5a49c1d0789,8b4bfaa5-062c-4bd6-b0c0-893eecc1cd3d,2025-08-01,messages_sent,59796,"{""plan"":""growth"",""segment"":""smb""}",2026-06-22T18:00:00+05:30
2d259b06-bc14-4ca0-948e-08d926292969,424fd2f4-dd96-46fa-8b4f-9cbf898403c3,2025-09-01,agent_resolution_rate,0.1608,"{""plan"":""business"",""segment"":""mid_market""}",2026-06-22T18:00:00+05:30
9d938cba-5fa5-4459-bcc1-4ac94983f89c,fa539183-81c8-4d0f-bacb-6267333d1c1b,2025-09-01,document_index_success_rate,0.5167,"{""plan"":""business"",""segment"":""mid_market""}",2026-06-22T18:00:00+05:30
47a7c3fc-9eda-471d-95ce-a43bdf8a8e91,74b17dcc-1888-4609-aa87-34bab2f1e426,2025-10-01,daily_active_users,38101,"{""plan"":""growth"",""segment"":""mid_market""}",2026-06-22T18:00:00+05:30
ff80c5c8-77f5-4fc6-a0d7-21c19f349307,33c3a356-65e9-4f38-bb93-27954e0384fd,2025-09-01,monthly_active_users,50193,"{""plan"":""growth"",""segment"":""enterprise""}",2026-06-22T18:00:00+05:30
617c5a0a-3004-4ae5-84ea-5588454f85ba,02cfb883-ddf9-4fe2-9c26-37b53d3fc109,2026-02-01,session_duration_seconds,26882,"{""plan"":""business"",""segment"":""enterprise""}",2026-06-22T18:00:00+05:30
dda14922-bd56-4d07-b3a2-952de38406a0,1c653bb5-7716-44f9-ba50-ef7b04062c32,2026-04-01,login_frequency,329,"{""plan"":""starter"",""segment"":""smb""}",2026-06-22T18:00:00+05:30
139a497f-4386-40ce-a63c-972786803aa0,0f2b1d52-a454-4efd-9c2c-f0099b6ed92c,2025-09-01,api_calls,43375,"{""plan"":""growth"",""segment"":""mid_market""}",2026-06-22T18:00:00+05:30
9243cba2-17bb-4e81-8835-eb7208a462fd,8abfb5d9-4288-4c20-a93f-4bd9bf6f5ec0,2026-06-01,error_rate,0.3707,"{""plan"":""business"",""segment"":""smb""}",2026-06-22T18:00:00+05:30
989c7f82-fb8a-45ac-b3b9-5a34ba713c3f,8839bf5f-df56-47dd-ba47-147013d8dec8,2026-02-01,lead_conversion_rate,0.3231,"{""plan"":""free"",""segment"":""smb""}",2026-06-22T18:00:00+05:30
