id,tenant_id,user_id,agent_id,model,token_type,quantity,created_at
5ae624e3-a16e-4d76-a615-1531c5855c3c,84760326-9e41-409e-abe3-c7aa3cb7e374,5dfdf853-d754-4e77-b58c-1347c8ef90db,99e33976-1785-42f5-9e1e-3f1bbfd84df8,gpt-4.1,rerank,7336,2025-12-28T10:30:07+05:30
3ff2e48c-6d3e-4d88-9fe3-8ece40fa5371,b96a144e-60cd-45a8-8401-7b53e06b3bc6,03394228-593e-47d3-9d69-7724c6daffd9,e9305972-a4d3-4c03-9440-396935f557f5,o4-mini,rerank,11926,2025-10-27T23:35:53+05:30
52b0a89b-1854-4385-97e9-78ac2ebc3fb4,dc6b38d9-0bdc-4273-bf88-11ae68667f87,77672b82-9bcf-438b-8b21-ea7b6eb40213,1127559b-beb8-4703-b75a-c29506013a31,claude-3.5-sonnet,completion,12954,2025-11-01T17:27:24+05:30
65771f5e-1aa8-4ed4-b321-6877b3b19056,aa39c848-674c-42df-ba14-b5ce04cec18d,146342ad-9ba6-419b-94a8-d94c6d8a738f,86ccab26-b6d5-471d-8443-5159da8f0fb0,claude-3.5-sonnet,prompt,15474,2026-02-16T10:17:46+05:30
8ce060a5-f202-497e-bffd-e676a25361b8,167be83c-9f6d-4545-bba2-9ecc16fc63f3,b9637a9f-e26b-4c71-8b4c-9abb9539b1b7,23406a9d-5ab3-4971-bb9c-bf1b735d90b1,claude-3.5-sonnet,embedding,1532,2026-01-02T01:36:50+05:30
b57bd2a9-bdc6-4e5a-a9aa-c933750740d2,c95d3b82-80c9-4290-8a7f-54f502aa1f1a,15c74fd3-5a68-4734-b171-899a7237ba50,b2f0be92-c81c-4780-9c60-0ebaeb99da08,o4-mini,completion,2143,2026-05-20T02:32:54+05:30
ee1d24eb-de42-4ca2-a4f6-ce5dfa3bb5ed,572d6291-57f1-4b94-b99e-7ccf76c7a229,9a44cffd-3366-4d81-a2d6-55c08474ee12,342722fb-59f8-494d-919c-d67ffd1306c1,gpt-4.1-mini,prompt,2069,2025-10-06T11:15:10+05:30
6d52d455-da56-4bf6-a130-388656cc7181,68c71493-046b-4f69-bf21-c41957063167,63848020-de0f-47a1-b35e-9d18d7c8cc8d,63cb5268-6a8d-43d2-ba7e-1bfbfaef56d8,claude-3.5-sonnet,prompt,1601,2025-10-03T17:08:29+05:30
d9484112-5d7e-47ee-acde-3ab5703bb7a6,4e187dff-8ef3-4524-aa14-bbe992891af2,81be1fa7-32f1-48e7-b64b-f6ea3a76bbc8,1b4554b0-2f40-4224-ab87-b6fd41d162ff,gpt-4o-mini,completion,11018,2025-11-05T22:35:41+05:30
1f53c749-bed7-4b6c-8d2b-0d1a47ef6f9d,e89892df-4256-4dd2-a4ba-5a2bd798054f,a77cccc0-fae9-4bba-87f3-bf95a7968b02,59dc4bda-e3cf-4d15-8165-74322a6773d4,gpt-4o-mini,completion,12916,2026-03-01T17:57:35+05:30
9abb6aac-cca4-4fdd-a7b4-bf8792fbca3a,457f76eb-ed05-4a82-90f9-7741b187d8e3,f980aed2-3a1e-47ff-ba9f-064cd28f1915,690ec7ee-ba01-469b-b9dc-0927b670d50e,o4-mini,completion,637,2025-11-22T13:21:39+05:30
326a0e92-57bb-4419-b353-fc3e7fc29375,7f8c1864-7c53-4161-9f98-f47cff0a9638,7e1bdc07-43c1-451a-993f-a1e05ffc8ae2,b26f2898-bedc-42d7-b449-d7a48e428279,gpt-4.1-mini,embedding,10276,2026-03-10T05:16:39+05:30
f09ea149-5ee6-4331-a9c6-bd39949899ab,be83860c-3513-463a-a076-3d565c9b9021,3072dd77-cad4-4b09-b3ab-502c2ba34cf0,bccf07b7-d079-4fd5-ab8c-148b8147fff2,gpt-4.1-mini,completion,8074,2026-03-22T08:32:53+05:30
72990ebd-9066-4224-914d-4629ac740cdc,444b6ad3-35a1-462b-b6ab-6c091ab6b310,be279ef8-7758-42aa-a1b1-e9dac70cce52,3e8b5627-69b5-4e8d-8a85-157f4269f63c,claude-3.5-sonnet,rerank,13749,2025-10-02T13:02:39+05:30
051f2ffb-fcc4-46af-be56-ceb7de8cc177,9058d3d9-9f17-4bab-b13c-fd090654b927,b1b489e0-09a0-4c92-b9e6-4e7a97a1f6f2,5f5ec8ca-40c8-437d-b0d7-5f077cbc1add,gpt-4.1,completion,4882,2026-04-15T08:58:46+05:30
bd809271-2a91-4e3a-8d75-9954358387ca,451ec892-7ab4-40bc-8c66-e6f2fced87e8,5658c9aa-dd27-4ba6-98cb-a6565baf1db0,811d6c95-6b64-4b1a-bfad-5ffcc8539878,claude-3.5-sonnet,completion,3534,2026-03-19T12:28:10+05:30
7e848d0c-67e8-4481-a72a-638a17b7df51,d9938b62-0d89-42e5-934b-1c07f0d19b30,0c8499a6-9384-4fda-8601-5d3ac701886a,4b3a0bfc-d458-42de-8758-79bc91ce8616,gpt-4.1,embedding,4210,2025-12-08T08:50:18+05:30
798cc0a4-5164-4567-933a-2d5aeb58816e,f2abfc0d-74c1-4b64-8fc1-b248a6b2819e,e474cdf2-0373-4c05-bf9b-402c309c6318,8a4ddc22-4371-4ea0-b7e0-a3eed6321c11,gpt-4.1,embedding,10448,2025-08-01T03:47:43+05:30
c83755f3-e5dd-469d-a83e-55eb4cf4ca4a,67c7fecd-ac82-4961-8bbc-caa4fa63ecbe,a9114576-f43c-4639-8a55-0c10c5dc9f55,5658a1ab-b7f1-41ae-93c8-465ce8ced30f,o4-mini,embedding,1931,2026-03-27T08:40:59+05:30
5bb7f403-40e1-45c4-8746-c53b4384d618,2391d45f-ba45-47be-bcb9-bf8ac7addaf1,77c4da2c-614e-42b4-96c6-fd9473034bae,0526eb71-df05-4260-8d9e-10468be14b88,gpt-4o-mini,rerank,7724,2025-10-16T12:22:12+05:30
4136e94c-fe88-48ef-9eb5-0e229eca3587,18c24dd1-0a0a-4bfa-a0cb-8c4a42aa0134,c1d98a2f-b135-40e8-b84d-b887e5c6aa98,d336ce94-208a-48bc-8549-9bff9762a1f5,gpt-4.1-mini,rerank,3942,2025-07-14T03:48:39+05:30
6f124a4c-fd52-4b97-bab3-69f39c7cde37,70134239-93b5-4ecd-8862-2d4b952e38ea,a2d889cd-9db6-4461-b89a-a1ef6586b2c3,8297b316-9830-4721-b9cc-0387563a24f3,claude-3.5-sonnet,prompt,13512,2026-05-08T10:00:43+05:30
af190f7b-b76f-432a-9e8b-b6291958c1e6,d2bdac2b-05b6-4049-9235-f56e0b5f4792,dbcdf611-06c1-47de-a356-17caef6db737,71d3f2e8-9824-40fd-a274-6815bb9facef,gpt-4o-mini,embedding,11679,2026-01-16T11:04:25+05:30
3d44f210-374c-49b3-83d8-5f0966cc1dcf,f194c9ed-fe01-450b-ab37-103134f759e6,e1ab2ff5-90a5-4cb2-b0f5-a61b9649d9fc,9f303c33-fdbd-4b6a-b6ea-cbcd4c88074f,gpt-4.1,prompt,6955,2026-05-02T11:25:52+05:30
7375f184-7ea2-4e42-93cc-61d0382f95d1,90ef8001-3bfc-433e-94fe-8a28b8f7d4ba,c5a333f0-c108-41ea-9f24-5b95e00b8b82,bd169254-d893-4b6f-b2d6-d6327b8a099d,gpt-4.1,prompt,15580,2025-08-08T11:34:00+05:30
c0e73496-bd04-4dd3-8f93-540bca88bb4c,5534f39e-17bc-42af-9438-27aed397a117,2e0947b5-987d-4b83-bf85-e33346a02c12,edad7bff-6b6e-4ba6-b6a1-06f54d1d29e2,gpt-4.1-mini,rerank,13648,2025-09-16T10:45:21+05:30
047218eb-aea8-4107-ade8-36b80ec3e225,1e708f22-34d4-4662-9379-b3c72737b5a2,38520cd4-c1fb-4148-af19-4de4aea26cb8,1b27a43f-ef0e-40a9-a25e-8d6cc7c24685,gpt-4.1,completion,13454,2026-01-21T22:09:29+05:30
8bbb3bf8-ba16-468e-b0a0-f37fb6de74aa,57f36c7c-1a9b-498b-8e1d-1f8e590e1127,12e006b8-717b-40b7-837e-3f63ae0a1cfd,383127dc-d662-4879-b083-f84ad474b79d,gpt-4.1,prompt,12486,2025-08-17T12:05:15+05:30
e36c2c40-cb5c-49a4-8a8a-d03e19a9b81f,878d6513-a4eb-42c7-ad14-27f3503be1b4,2c3455ba-f6c4-42ef-893c-460144824b5b,14d9dda6-bfc1-49ea-9893-f7ea6d9672fb,gpt-4.1,rerank,3811,2025-07-23T13:52:17+05:30
f7107f1e-3a6f-4e89-8487-22b417d02eab,82a38db2-bd0f-43f5-afa4-500cab2cccbc,17d18e5c-8e10-49bb-90f1-2c6c5d95d86a,422124ae-ec0e-490a-9b9d-356d16f8054c,o4-mini,rerank,13546,2026-05-01T10:00:04+05:30
07bab508-3afe-409f-9d24-e3d1d931d2ad,4c121f79-8d13-4bf1-8b95-5a5948593853,e17e9b61-337f-4fad-a44e-2ef8aaef18eb,862f5e34-d7d3-44dd-ad19-1592d0838109,gpt-4.1,completion,11404,2025-12-28T10:56:57+05:30
0dd8ae45-6c9a-4569-adad-98c3d1cdd2f8,2103fe95-6f0c-4ab9-9ae5-7e9e4645a4ae,b7323eb2-1607-4fa5-8d97-9ae143a09686,39bc9212-8fbb-4377-bdfa-95ddf506e1da,gpt-4.1-mini,completion,15841,2025-08-11T07:19:52+05:30
21c2801f-11e5-494c-831d-0834223035e5,b35c22fd-cad2-406d-9b99-535b987e820b,5c6d6047-894f-45f3-869b-8d3b45d60030,26278423-480e-4b09-b2aa-1118baa47412,gpt-4.1,completion,5588,2025-10-20T02:43:55+05:30
dc361b9e-7f76-47d7-97bc-9a28b901483f,ecb3196a-1545-4915-9d37-b814da873db0,dad6fd11-d320-491e-9059-32fc6be0a53c,22006a7e-336e-4b77-9337-9d3ffb47645d,gpt-4.1,prompt,2350,2026-04-28T13:02:54+05:30
